id,zip_code,city,state_id,latitude,longitude
26803,63124,Saint Louis,3948,38.6372,-90.3776
26804,63125,Saint Louis,3948,38.5222,-90.3021
26805,63126,Saint Louis,3948,38.5495,-90.3811
26806,63127,Saint Louis,3948,38.5355,-90.407
26807,63128,Saint Louis,3948,38.4915,-90.3772
26808,63129,Saint Louis,3948,38.4566,-90.3282
26809,63130,Saint Louis,3948,38.6669,-90.3225
26810,63131,Saint Louis,3948,38.6171,-90.4504
26811,63132,Saint Louis,3948,38.6746,-90.3747
26812,63133,Saint Louis,3948,38.6779,-90.3033
26813,63134,Saint Louis,3948,38.7435,-90.341
26814,63135,Saint Louis,3948,38.7497,-90.3012
26815,63136,Saint Louis,3948,38.7196,-90.27
26816,63137,Saint Louis,3948,38.7468,-90.2131
26817,63138,Saint Louis,3948,38.8033,-90.2065
26818,63139,Saint Louis,3948,38.6108,-90.292
26819,63140,Saint Louis,3948,38.7375,-90.3265
26820,63141,Saint Louis,3948,38.6565,-90.4542
26821,63143,Saint Louis,3948,38.6111,-90.3225
26822,63144,Saint Louis,3948,38.6182,-90.3489
26823,63145,Saint Louis,3948,38.6383,-90.4271
26824,63146,Saint Louis,3948,38.7033,-90.4618
26825,63147,Saint Louis,3948,38.7139,-90.2375
26826,63150,Saint Louis,3948,38.6273,-90.1979
26827,63151,Saint Louis,3948,38.6383,-90.4271
26828,63155,Saint Louis,3948,38.6531,-90.2435
26829,63156,Saint Louis,3948,38.6531,-90.2435
26830,63157,Saint Louis,3948,38.6531,-90.2435
26831,63158,Saint Louis,3948,38.6531,-90.2435
26832,63160,Saint Louis,3948,38.6531,-90.2435
26833,63163,Saint Louis,3948,38.6531,-90.2435
26834,63164,Saint Louis,3948,38.6531,-90.2435
26835,63166,Saint Louis,3948,38.6531,-90.2435
26836,63167,Saint Louis,3948,38.6383,-90.4271
26837,63169,Saint Louis,3948,38.6273,-90.1979
26838,63171,Saint Louis,3948,38.6531,-90.2435
26839,63177,Saint Louis,3948,38.6531,-90.2435
26840,63178,Saint Louis,3948,38.6531,-90.2435
26841,63179,Saint Louis,3948,38.6531,-90.2435
26842,63180,Saint Louis,3948,38.6273,-90.1979
26843,63182,Saint Louis,3948,38.6273,-90.1979
26844,63188,Saint Louis,3948,38.6273,-90.1979
26845,63195,Saint Louis,3948,38.6531,-90.2435
26846,63197,Saint Louis,3948,38.6273,-90.1979
26847,63199,Saint Louis,3948,38.6531,-90.2435
26848,63301,Saint Charles,3948,38.8014,-90.5065
26849,63302,Saint Charles,3948,38.7839,-90.4812
26850,63303,Saint Charles,3948,38.7622,-90.5471
26851,63304,Saint Charles,3948,38.7378,-90.6234
26852,63330,Annada,3948,39.2558,-90.8224
26853,63332,Augusta,3948,38.5728,-90.8815
26854,63333,Bellflower,3948,39.0012,-91.3489
26855,63334,Bowling Green,3948,39.3346,-91.1962
26856,63336,Clarksville,3948,39.3465,-90.9362
26857,63338,Cottleville,3948,38.7462,-90.654
26858,63339,Curryville,3948,39.3257,-91.3493
26859,63341,Defiance,3948,38.6616,-90.8302
26860,63342,Dutzow,3948,38.606,-90.9962
26861,63343,Elsberry,3948,39.159,-90.816
26862,63344,Eolia,3948,39.2431,-91.0093
26863,63345,Farber,3948,39.2742,-91.5798
26864,63346,Flinthill,3948,38.7509,-90.5368
26865,63347,Foley,3948,39.053,-90.7775
26866,63348,Foristell,3948,38.7626,-90.9343
26867,63349,Hawk Point,3948,38.9766,-91.1211
26868,63350,High Hill,3948,38.8902,-91.3715
26869,63351,Jonesburg,3948,38.8717,-91.3019
26870,63352,Laddonia,3948,39.2425,-91.6454
26871,63353,Louisiana,3948,39.4336,-91.0664
26872,63357,Marthasville,3948,38.6512,-91.1516
26873,63359,Middletown,3948,39.1055,-91.3873
26874,63361,Montgomery City,3948,38.9839,-91.5085
26875,63362,Moscow Mills,3948,38.9482,-90.9138
26876,63363,New Florence,3948,38.9023,-91.4909
26877,63365,New Melle,3948,38.7163,-90.8751
26878,63366,O Fallon,3948,38.8239,-90.7427
26879,63367,Lake Saint Louis,3948,38.7936,-90.7854
26880,63368,O Fallon,3948,38.7513,-90.7296
26881,63369,Old Monroe,3948,38.9346,-90.7782
26882,63370,Olney,3948,39.0776,-91.2317
26883,63373,Portage Des Sioux,3948,38.9259,-90.3863
26884,63376,Saint Peters,3948,38.7802,-90.6228
26885,63377,Silex,3948,39.1166,-91.037
26886,63378,Treloar,3948,38.6445,-91.1879
26887,63379,Troy,3948,39.0012,-90.9624
26888,63380,Truesdale,3948,38.8117,-91.1304
26889,63381,Truxton,3948,38.967,-91.2126
26890,63382,Vandalia,3948,39.2949,-91.4883
26891,63383,Warrenton,3948,38.805,-91.174
26892,63384,Wellsville,3948,39.0765,-91.5645
26893,63385,Wentzville,3948,38.802,-90.8534
26894,63386,West Alton,3948,38.8758,-90.2384
26895,63387,Whiteside,3948,39.1853,-91.0168
26896,63388,Williamsburg,3948,38.8874,-91.7689
26897,63389,Winfield,3948,38.9897,-90.8213
26898,63390,Wright City,3948,38.8097,-91.0329
26899,63401,Hannibal,3948,39.7064,-91.3839
26900,63430,Alexandria,3948,40.3445,-91.5154
26901,63431,Anabel,3948,39.7428,-92.328
26902,63432,Arbela,3948,40.4863,-92.0047
26903,63433,Ashburn,3948,39.561,-91.1844
26904,63434,Bethel,3948,39.8922,-92.0316
26905,63435,Canton,3948,40.1437,-91.548
26906,63436,Center,3948,39.5154,-91.5398
26907,63437,Clarence,3948,39.7366,-92.253
26908,63438,Durham,3948,39.9625,-91.6704
26909,63439,Emden,3948,39.8019,-91.8606
26910,63440,Ewing,3948,39.9962,-91.7216
26911,63441,Frankford,3948,39.4892,-91.3031
26912,63442,Granger,3948,40.4533,-92.1474
26913,63443,Hunnewell,3948,39.7018,-91.8832
26914,63445,Kahoka,3948,40.4266,-91.725
26915,63446,Knox City,3948,40.1384,-92.0077
26916,63447,La Belle,3948,40.1164,-91.9171
26917,63448,La Grange,3948,40.0391,-91.5182
26918,63450,Lentner,3948,39.7123,-92.1489
26919,63451,Leonard,3948,39.9076,-92.1947
26920,63452,Lewistown,3948,40.0867,-91.8157
26921,63453,Luray,3948,40.4931,-91.8912
26922,63454,Maywood,3948,39.9333,-91.6148
26923,63456,Monroe City,3948,39.6546,-91.723
26924,63457,Monticello,3948,40.1184,-91.7121
26925,63458,Newark,3948,39.9931,-91.973
26926,63459,New London,3948,39.5917,-91.396
26927,63460,Novelty,3948,40.0125,-92.2082
26928,63461,Palmyra,3948,39.7913,-91.5368
26929,63462,Perry,3948,39.4207,-91.6641
26930,63463,Philadelphia,3948,39.8359,-91.7538
26931,63464,Plevna,3948,39.9765,-92.0852
26932,63465,Revere,3948,40.5172,-91.6753
26933,63466,Saint Patrick,3948,40.4312,-91.6851
26934,63467,Saverton,3948,39.65,-91.2705
26935,63468,Shelbina,3948,39.6947,-92.0371
26936,63469,Shelbyville,3948,39.8108,-92.0498
26937,63471,Taylor,3948,39.9145,-91.5278
26938,63472,Wayland,3948,40.4001,-91.5842
26939,63473,Williamstown,3948,40.2491,-91.7852
26940,63474,Wyaconda,3948,40.3721,-91.9071
26941,63501,Kirksville,3948,40.1908,-92.5856
26942,63530,Atlanta,3948,39.9146,-92.475
26943,63531,Baring,3948,40.2509,-92.2311
26944,63532,Bevier,3948,39.7497,-92.5619
26945,63533,Brashear,3948,40.1959,-92.4333
26946,63534,Callao,3948,39.7448,-92.6351
26947,63535,Coatsville,3948,40.5665,-92.6388
26948,63536,Downing,3948,40.4875,-92.3694
26949,63537,Edina,3948,40.1795,-92.1455
26950,63538,Elmer,3948,39.9415,-92.6424
26951,63539,Ethel,3948,39.9146,-92.7664
26952,63540,Gibbs,3948,40.104,-92.4066
26953,63541,Glenwood,3948,40.5149,-92.5886
26954,63543,Gorin,3948,40.3622,-92.014
26955,63544,Green Castle,3948,40.2703,-92.878
26956,63545,Green City,3948,40.2601,-92.9532
26957,63546,Greentop,3948,40.3446,-92.5567
26958,63547,Hurdland,3948,40.1609,-92.2791
26959,63548,Lancaster,3948,40.5253,-92.5264
26960,63549,La Plata,3948,40.0208,-92.5077
26961,63551,Livonia,3948,40.5112,-92.7241
26962,63552,Macon,3948,39.7481,-92.4622
26963,63555,Memphis,3948,40.4619,-92.1851
26964,63556,Milan,3948,40.1844,-93.1361
26965,63557,New Boston,3948,39.9332,-92.916
26966,63558,New Cambria,3948,39.7551,-92.7695
26967,63559,Novinger,3948,40.2685,-92.7172
26968,63560,Pollock,3948,40.3385,-93.1115
26969,63561,Queen City,3948,40.4152,-92.5663
26970,63563,Rutledge,3948,40.329,-92.0976
26971,63565,Unionville,3948,40.4815,-92.9951
26972,63566,Winigan,3948,40.0371,-92.9301
26973,63567,Worthington,3948,40.4084,-92.6888
26974,63601,Park Hills,3948,37.8498,-90.4885
26975,63620,Annapolis,3948,37.3981,-90.6702
26976,63621,Arcadia,3948,37.4871,-90.6062
26977,63622,Belgrade,3948,37.7889,-90.8613
26978,63623,Belleview,3948,37.682,-90.7991
26979,63624,Bismarck,3948,37.7539,-90.5984
26980,63625,Black,3948,37.5473,-90.9917
26981,63626,Blackwell,3948,38.0544,-90.6279
26982,63627,Bloomsdale,3948,38.0451,-90.2805
26983,63628,Bonne Terre,3948,37.9231,-90.5554
26984,63629,Bunker,3948,37.4772,-91.1927
26985,63630,Cadet,3948,38.0125,-90.7439
26986,63631,Caledonia,3948,37.7639,-90.7409
26987,63632,Cascade,3948,37.2995,-90.2693
26988,63633,Centerville,3948,37.4285,-90.9757
26989,63636,Des Arc,3948,37.2955,-90.6279
26990,63637,Doe Run,3948,37.7348,-90.4968
26991,63638,Ellington,3948,37.2398,-90.9589
26992,63640,Farmington,3948,37.7773,-90.4094
26993,63645,Fredericktown,3948,37.4906,-90.3362
26994,63648,Irondale,3948,37.8296,-90.6984
26995,63650,Ironton,3948,37.6168,-90.5985
26996,63651,Knob Lick,3948,37.6754,-90.3677
26997,63653,Leadwood,3948,37.8577,-90.5879
26998,63654,Lesterville,3948,37.482,-90.8425
