id,onet_id,related_onet_id,index,active_status
154,187,188,1,1
155,187,77,2,1
156,187,918,3,1
157,187,524,4,1
158,187,121,5,1
159,187,632,6,1
160,187,375,7,1
161,187,1,8,1
162,187,4,9,1
163,187,525,10,1
164,524,1060,1,1
165,524,187,2,1
166,524,970,3,1
167,524,525,4,1
168,524,1061,5,1
169,524,295,6,1
170,524,933,7,1
171,524,866,8,1
172,524,633,9,1
173,524,870,10,1
174,1060,1061,1,1
175,1060,524,2,1
176,1060,933,3,1
177,1060,633,4,1
178,1060,870,5,1
179,1060,866,6,1
180,1060,295,7,1
181,1060,970,8,1
182,1060,404,9,1
183,1060,610,10,1
184,737,49,1,1
185,737,432,2,1
186,737,536,3,1
187,737,433,4,1
188,737,410,5,1
189,737,434,6,1
190,737,462,7,1
191,737,400,8,1
192,737,21,9,1
193,737,983,10,1
194,49,392,1,1
195,49,983,2,1
196,49,529,3,1
197,49,427,4,1
198,49,742,5,1
199,49,889,6,1
200,49,737,7,1
201,49,344,8,1
202,49,630,9,1
203,49,391,10,1
204,212,331,1,1
205,212,386,2,1
206,212,161,3,1
207,212,742,4,1
208,212,1064,5,1
209,212,983,6,1
210,212,342,7,1
211,212,54,8,1
212,212,610,9,1
213,212,462,10,1
214,296,277,1,1
215,296,524,2,1
216,296,1014,3,1
217,296,894,4,1
218,296,780,5,1
219,296,996,6,1
220,296,490,7,1
221,296,404,8,1
222,296,994,9,1
223,296,403,10,1
224,294,548,1,1
225,294,295,2,1
226,294,970,3,1
227,294,166,4,1
228,294,1060,5,1
229,294,275,6,1
230,294,517,7,1
231,294,245,8,1
232,294,524,9,1
233,294,296,10,1
234,295,524,1,1
235,295,548,2,1
236,295,294,3,1
237,295,975,4,1
238,295,1060,5,1
239,295,586,6,1
240,295,166,7,1
241,295,1061,8,1
242,295,297,9,1
243,295,299,10,1
244,54,52,1,1
245,54,331,2,1
246,54,1064,3,1
247,54,386,4,1
248,54,161,5,1
249,54,333,6,1
250,54,609,7,1
251,54,629,8,1
252,54,212,9,1
253,54,534,10,1
254,429,145,1,1
255,429,410,2,1
256,429,398,3,1
257,429,462,4,1
258,429,603,5,1
259,429,536,6,1
260,429,405,7,1
261,429,397,8,1
262,429,409,9,1
263,429,399,10,1
264,455,404,1,1
265,455,10,2,1
266,455,457,3,1
267,455,462,4,1
268,455,409,5,1
269,455,912,6,1
270,455,603,7,1
271,455,405,8,1
272,455,410,9,1
273,455,403,10,1
